team|player|observations|score|expectedScore|scoreDiff
Carlton|Eddie Betts|52|178|163.4500637|14.5499363
Port Adelaide|Orazio Fantasia|53|184|169.4327377|14.5672623
Sydney Swans|Justin McInerney|10|38|22.894791|15.105209
Sydney Swans|Will Hayward|45|183|167.538038|15.461962
Essendon|Kyle Langford|20|80|64.312351|15.687649
Sydney Swans|Tom Hickey|17|66|50.294369|15.705631
GWS Giants|Jeremy Finlayson|38|146|130.094299|15.905701
GWS Giants|Callan Ward|24|82|66.0891957|15.9108043
Western Bulldogs|Josh Bruce|80|301|284.5530443|16.4469557
Carlton|Marc Murphy|12|52|35.5076927|16.4923073
Western Bulldogs|Jason Johannisen|27|89|72.013779|16.986221
GWS Giants|Zach Sproule|17|71|53.4192559|17.5807441
Western Bulldogs|Cody Weightman|44|169|151.226589|17.773411
Geelong Cats|Isaac Smith|28|93|74.790883|18.209117
GWS Giants|Harry Himmelberg|62|236|215.7930876|20.2069124
Sydney Swans|Tom Papley|89|272|251.0430451|20.9569548999999
Brisbane Lions|Daniel McStay|40|177|155.510121|21.489879
North Melbourne|Nick Larkey|65|267|242.29488|24.7051200000001
Hawthorn|Dylan Moore|43|167|142.2766674|24.7233326
Brisbane Lions|Lincoln McCarthy|57|219|194.138666|24.861334
GWS Giants|Daniel Lloyd|31|126|99.566133|26.433867
Geelong Cats|Gary Rohan|53|210|182.180584|27.819416
Richmond|Jack Riewoldt|90|329|301.1338517|27.8661482999999
Essendon|Peter Wright|42|180|150.316606|29.683394
Collingwood|Jamie Elliott|35|152|117.514107|34.485893
Hawthorn|Luke Breust|49|206|170.6591171|35.3408829
Geelong Cats|Jeremy Cameron|61|238|202.647169|35.3528310000001
Adelaide Crows|Darcy Fogarty|40|156|120.4050333|35.5949667
Melbourne|Bayley Fritsch|78|325|289.117739|35.8822609999999
Geelong Cats|Tom Hawkins|106|393|355.0238351|37.9761649
Essendon|Anthony McDonald-Tipungwuti|51|217|176.667699|40.332301
Sydney Swans|Lance Franklin|81|312|270.053954|41.946046
Adelaide Crows|Taylor Walker|83|308|251.2305649|56.7694350999999
West Coast Eagles|Josh J. Kennedy|72|267|207.930104|59.0698959999999
