team|player|observations|score|expectedScore|scoreDiff
Western Bulldogs|Hayden Crozier|1|0|0.3333333|-0.3333333
GWS Giants|Toby Greene|95|290|290.2838703|-0.28387029999999
Richmond|Liam Baker|15|49|49.2128817|-0.212881700000004
Sydney Swans|Nick Blakey|8|22|22.164452|-0.164452000000004
Geelong Cats|Quinton Narkle|9|28|28.100707|-0.100707
Gold Coast Suns|Nick Holman|15|65|65.074071|-0.0740710000000036
Western Bulldogs|Bailey Williams|1|1|1|0
Western Bulldogs|Buku Khamis|1|0|0|0
GWS Giants|Callum M. Brown|2|12|12|0
Carlton|Corey Durdin|1|6|6|0
Hawthorn|Damon Greaves|1|6|6|0
Port Adelaide|Dylan Williams|1|0|0|0
Western Bulldogs|Ed Richards|1|6|6|0
Hawthorn|Finn Maginness|1|0|0|0
West Coast Eagles|Isiah Winder|1|6|6|0
Port Adelaide|Jarrod Lienert|1|6|6|0
Collingwood|Jeremy Howe|1|0|0|0
Collingwood|John Noble|1|6|6|0
West Coast Eagles|Josh Rotham|1|1|1|0
Collingwood|Levi Greenwood|1|0|0|0
Adelaide Crows|Luke Pedlar|1|0|0|0
West Coast Eagles|Mark Hutchings|1|0|0|0
Port Adelaide|Martin Frederick|1|6|6|0
Hawthorn|Ned Reeves|1|6|6|0
Gold Coast Suns|Sean Lemmens|1|0|0|0
Fremantle|Stefan Giro|1|6|6|0
Geelong Cats|Tom Atkins|2|1|1|0
West Coast Eagles|Tom Cole|1|0|0|0
Collingwood|Tyler Brown|1|0|0|0
Brisbane Lions|Mitch Robinson|15|43|42.989393|0.0106070000000003
St Kilda|Jack Sinclair|7|20|19.9803927|0.019607299999997
West Coast Eagles|Xavier O'Neill|2|7|6.916667|0.0833329999999997
Fremantle|Blake Acres|6|12|11.909722|0.0902779999999996
Port Adelaide|Riley Bonner|3|7|6.833334|0.166665999999999
Western Bulldogs|Taylor Duryea|2|6|5.821429|0.178571
Port Adelaide|Darcy Byrne-Jones|2|2|1.75|0.25
Western Bulldogs|Lewis Young|3|7|6.722222|0.277778000000001
Gold Coast Suns|Caleb Graham|1|1|0.6666667|0.3333333
St Kilda|Dougal Howard|1|1|0.6666667|0.3333333
Geelong Cats|Zach Guthrie|1|1|0.6666667|0.3333333
Fremantle|Adam Cerra|16|40|39.663683|0.336317000000001
St Kilda|Leo Connolly|2|7|6.607843|0.392157
Essendon|Nick Hind|5|18|17.555555|0.444445000000002
North Melbourne|Tom Powell|8|26|25.545237|0.454763
West Coast Eagles|Jack Petruccelle|28|103|102.504536|0.495463999999998
Hawthorn|Changkuoth Jiath|1|1|0.5|0.5
North Melbourne|Phoenix Spicer|1|1|0.5|0.5
North Melbourne|Shaun Atley|2|7|6.5|0.5
St Kilda|Brad Crouch|14|40|39.411976|0.588024000000004
Collingwood|Jack Madgen|1|1|0.4|0.6
Collingwood|Josh Daicos|19|63|62.393585|0.606415000000013
GWS Giants|Kieren Briggs|3|12|11.334734|0.665265999999999
Melbourne|Kysaiah Pickett|74|242|241.3004443|0.699555700000076
Western Bulldogs|Patrick Lipinski|4|13|12.286438|0.713562
Port Adelaide|Sam Powell-Pepper|20|68|67.279606|0.720393999999999
Brisbane Lions|Daniel Rich|9|17|16.25|0.75
GWS Giants|Adam Kennedy|2|7|6.216117|0.783882999999999
GWS Giants|Lachlan Keeffe|2|6|5.212406|0.787594
Gold Coast Suns|Oleg Markov|3|8|7.166667|0.833333
Brisbane Lions|Tom Fullarton|5|19|18.110223|0.889777000000002
Fremantle|Rory Lobb|43|138|137.0533667|0.946633300000002
Port Adelaide|Miles Bergman|15|48|47.046333|0.953666999999996
Western Bulldogs|Mitch Wallis|8|26|25.045865|0.954134999999997
Richmond|Jack Ross|3|12|11.0329|0.9671
Hawthorn|Emerson Jeka|4|14|12.937173|1.062827
Port Adelaide|Dan Houston|14|41|39.919321|1.080679
GWS Giants|Jacob Hopper|19|67|65.895211|1.10478900000001
Gold Coast Suns|Rory Atkins|2|7|5.892857|1.107143
Western Bulldogs|Toby McLean|5|14|12.858065|1.141935
Western Bulldogs|Tom Liberatore|27|82|80.824406|1.17559399999999
Port Adelaide|Lachie Jones|1|6|4.75|1.25
Brisbane Lions|Ryan Lester|1|6|4.75|1.25
GWS Giants|Jake Riccardi|3|13|11.716216|1.283784
St Kilda|Jake Carlisle|3|8|6.65625|1.34375
GWS Giants|Matt Flynn|7|32|30.653807|1.346193
Adelaide Crows|Ned McHenry|24|73|71.5694204|1.43057959999999
Fremantle|Sam Sturt|2|7|5.5|1.5
Essendon|Tom Cutler|6|10|8.4736843|1.5263157
Brisbane Lions|Lachie Neale|18|54|52.4335527|1.5664473
Essendon|Dylan Shiel|7|22|20.43254|1.56746
Melbourne|Mitch Brown|4|14|12.386654|1.613346
Geelong Cats|Francis Evans|3|13|11.362222|1.637778
Richmond|Jack Graham|20|66|64.349234|1.650766
Essendon|David Zaharakis|5|14|12.333333|1.666667
North Melbourne|Charlie Comben|1|6|4.31579|1.68421
Collingwood|Jack Ginnivan|11|38|36.2976903|1.70230970000001
Collingwood|Darcy Moore|6|25|23.242505|1.757495
Western Bulldogs|Jack Macrae|15|40|38.23352|1.76647999999999
Geelong Cats|Esava Ratugolea|18|71|69.183521|1.816479
Melbourne|Jayden Hunt|4|13|11.163025|1.836975
Brisbane Lions|Deven Robertson|6|26|24.133672|1.866328
Brisbane Lions|Thomas Berry|4|13|11.124094|1.875906
St Kilda|Jack Lonie|13|30|28.063697|1.936303
Sydney Swans|Dylan Stephens|2|7|5.052631|1.947369
Melbourne|Tom McDonald|56|201|199.018083|1.98191700000001
St Kilda|Hunter Clark|4|13|11|2
Melbourne|James Jordon|13|40|37.866994|2.133006
St Kilda|Jack Billings|29|98|95.847072|2.15292800000002
Sydney Swans|Jake Lloyd|2|6|3.8333333|2.1666667
St Kilda|Tim Membrey|70|229|226.784166|2.21583399999997
North Melbourne|Will Phillips|8|22|19.779412|2.220588
Hawthorn|Conor Nash|3|13|10.666667|2.333333
Essendon|Jayden Laverde|2|6|3.666667|2.333333
GWS Giants|Matt de Boer|4|14|11.6333333|2.3666667
Collingwood|Caleb Poulter|8|16|13.541666|2.458334
Carlton|Michael Gibbons|16|52|49.507331|2.49266899999999
West Coast Eagles|Alex Witherden|1|6|3.5|2.5
Sydney Swans|Callum Sinclair|1|6|3.5|2.5
Geelong Cats|Charlie Constable|1|6|3.5|2.5
Carlton|David Cuningham|3|18|15.5|2.5
St Kilda|Jade Gresham|1|6|3.5|2.5
Brisbane Lions|James Madden|1|6|3.5|2.5
Richmond|Riley Collier-Dawkins|4|18|15.382979|2.617021
Geelong Cats|Sam Menegola|26|83|80.331002|2.668998
Fremantle|Tobe Watson|1|6|3.296296|2.703704
Hawthorn|Tyler Brockman|19|64|61.248529|2.751471
Richmond|Bachar Houli|2|6|3.23913|2.76087
Carlton|Oscar McDonald|3|13|10.227273|2.772727
Adelaide Crows|Harry Schoenberg|21|69|66.2075217|2.7924783
Melbourne|Alex Neal-Bullen|31|88|85.1696553|2.83034470000001
Hawthorn|Jack Scrimshaw|6|26|23.149462|2.850538
Sydney Swans|Braeden Campbell|3|8|5.129032|2.870968
North Melbourne|Josh Walker|6|20|17.1210827|2.8789173
Adelaide Crows|Rory Sloane|5|19|16.118595|2.881405
North Melbourne|Jack Ziebell|2|12|9|3
Hawthorn|Michael Hartley|2|7|4|3
Gold Coast Suns|Wil Powell|1|6|3|3
Essendon|Zach Merrett|10|29|25.975958|3.024042
Essendon|Dylan Clarke|2|12|8.960526|3.039474
Brisbane Lions|Nakia Cockatoo|6|31|27.945652|3.054348
Melbourne|Tom Sparrow|10|33|29.915287|3.084713
Hawthorn|Jai Newcombe|1|6|2.888889|3.111111
St Kilda|Paul Hunter|2|12|8.8875|3.1125
St Kilda|Jack Bytel|3|13|9.82|3.18
GWS Giants|Tom Green|19|48|44.707357|3.292643
Richmond|Sydney Stack|2|12|8.666667|3.333333
North Melbourne|Atu Bosenavulagi|1|6|2.666667|3.333333
Carlton|Matthew Kennedy|11|32|28.666581|3.333419
Brisbane Lions|Keidean Coleman|13|40|36.6597576|3.3402424
Collingwood|Trey Ruscoe|2|12|8.647059|3.352941
Geelong Cats|Jed Bews|8|20|16.5616236|3.4383764
Brisbane Lions|Jaxon Prior|11|40|36.524135|3.475865
West Coast Eagles|Andrew Gaff|8|19|15.517171|3.482829
GWS Giants|Matt Buntine|2|7|3.444444|3.555556
Geelong Cats|Jake Kolodjashnij|1|6|2.378378|3.621622
Essendon|Ned Cahill|1|6|2.333333|3.666667
Carlton|Liam Stocker|3|13|9.333333|3.666667
Sydney Swans|Logan McDonald|16|58|54.3218093|3.67819070000001
Brisbane Lions|Grant Birchall|2|12|8.3|3.7
North Melbourne|Tom Campbell|12|37|33.299211|3.700789
Western Bulldogs|Easton Wood|3|12|8.25|3.75
North Melbourne|Bailey Scott|16|53|49.226032|3.773968
Essendon|Darcy Parish|18|67|63.090526|3.909474
